Source,Target,Weight
5,34,1.0004537473520982
5,35,1.0002101027617232
5,36,1.0003157377154928
5,37,1.0003173871270936
5,40,1.00011257124282
5,41,1.0001741710880294
5,42,1.0000556203917532
5,43,1.000546258947115
5,44,1.0005945204204363
5,45,1.000071655430996
5,46,1.0001059293196526
5,47,1.0010510963038703
5,48,1.0000581858735915
5,49,1.0001026666031356
5,50,1.0003395595258966
5,52,1.0001013260226213
5,53,1.0002655924656079
5,54,1.0001734871564305
5,56,1.0001675458901758
5,57,1.000190073259624
5,59,1.000087780383367
5,60,1.0003433320428938
5,61,1.0001542158921564
5,62,1.00005658259135
5,63,1.0000624934653153
5,64,1.0000364758413676
5,65,1.0000707383512035
5,66,1.000017354976748
5,67,1.0000859600525074
5,68,1.0000562574228276
5,69,1.0000577283482872
5,70,1.0001747770332596
5,71,1.0000580992910761
5,72,1.0000926551038987
5,73,1.0005746493868082
5,74,1.00010841565384
5,75,1.000130836449309
5,76,1.000096727092375
5,77,1.0000147473591674
5,78,1.000279111136681
5,79,1.0000842987237872
5,80,1.0000321268402101
5,81,1.0004592950822802
5,82,1.0003585084254545
5,83,1.000200683832605
5,84,1.0002497834286848
5,85,1.0000446944266106
5,86,1.0002603519689703
5,87,1.0002896749410544
5,88,1.0001094149580947
5,89,1.00019233183536
5,90,1.000261582822191
5,91,1.0003243708131648
5,92,1.000099677626267
5,93,1.000325538029869
5,94,1.0002989662957338
5,95,1.0003492647012024
5,96,1.0000683305176232
5,97,1.0000257268270336
5,98,1.000056030779987
6,0,1.0000656316601333
6,1,1.000028406449722
6,2,1.0000209332212309
6,4,1.0000898176017217
6,5,1.000022328613276
6,8,1.0000591189886927
6,9,1.0000277732038225
6,11,1.0000109363718417
6,12,1.000034530087639
6,13,1.0000199350900438
6,14,1.0001445523887615
6,15,1.0000609915930456
6,16,1.0001841225101173
6,17,1.0000818305006334
6,18,1.0002569322354533
6,19,1.0007646731982214
6,20,1.0001419245077683
6,21,1.0002213860297133
6,22,1.0002450653360226
6,23,1.0002677810222027
6,24,1.0003366334910102
6,26,1.0002550885606953
6,27,1.000445393178046
6,28,1.0003153917983434
6,29,1.0000743015001006
6,30,1.0001368168847284
6,31,1.0005319309335343
6,34,1.0005604374521275
6,35,1.0002818062399383
6,36,1.0003986400202851
6,37,1.0004550242893802
6,40,1.0001876420562965
6,41,1.0002586028212967
6,42,1.0001086594853381
6,43,1.0006949908758735
6,44,1.0007647939203126
6,45,1.0001504594429838
6,46,1.0001790183842332
6,47,1.0012553794724757
6,48,1.0001157342037508
6,49,1.000177837766364
6,50,1.0004745968761717
6,52,1.0001291378164283
6,53,1.000337956514932
6,54,1.0001949692001486
6,56,1.00027493127167
6,57,1.0002787639236517
6,59,1.0001689985600488
6,60,1.0004757247653862
6,61,1.0001908212783024
6,62,1.0000588846971443
6,63,1.0000232360416814
6,64,1.0000253883716992
